town,name,type,phone,sample_url,message,wa_link,send_status
Alexandra,Tops,alcohol,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-tops.html,"Hi Tops 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra alcohol businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-tops.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Blackboard Bakery,bakery,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-blackboard-bakery.html,"Hi Blackboard Bakery 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bakery businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-blackboard-bakery.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,ABSA,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-absa.html,"Hi ABSA 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-absa.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Capitec Bank,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-capitec-bank.html,"Hi Capitec Bank 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-capitec-bank.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,FNB,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb.html,"Hi FNB 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,FNB,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb.html,"Hi FNB 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,FNB Learning Centre,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb-learning-centre.html,"Hi FNB Learning Centre 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fnb-learning-centre.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Nedbank,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-nedbank.html,"Hi Nedbank 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-nedbank.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Standard Bank,bank,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-standard-bank.html,"Hi Standard Bank 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra bank businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-standard-bank.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Alex Fresh Meat Butchery,butcher,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-alex-fresh-meat-butchery.html,"Hi Alex Fresh Meat Butchery 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra butcher businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-alex-fresh-meat-butchery.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Roo,butcher,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-roo.html,"Hi Roo 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra butcher businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-roo.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Watloo,butcher,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-watloo.html,"Hi Watloo 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra butcher businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-watloo.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
